15:03:11.2039577,
15:03:11.4841573,
15:03:11.8053849,
15:03:12.0845812,
15:03:12.3197477,
15:03:12.5869364,
15:03:12.8311233,
15:03:13.0772841,
15:03:13.3299623,
15:03:13.5831417,
15:03:13.8323514,
15:03:14.0855313,
15:03:14.3337069,
15:03:14.5998953,
15:03:14.8500720,
15:03:15.1002487,
15:03:15.3554296,
15:03:15.6036049,
15:03:15.8537823,
15:03:16.1149668,
15:03:16.3701474,
15:03:16.6203248,
15:03:16.8785069,
15:03:17.1296849,
15:03:17.3798614,
15:03:17.6440486,
15:03:17.9032324,
15:03:18.1534091,
15:03:18.4115918,
15:03:18.6757791,
15:03:18.9269572,
15:03:19.1781346,
15:03:19.4293121,
15:03:19.6804901,
15:03:19.9306672,
15:03:20.1908513,
15:03:20.4410284,
15:03:20.6912054,
15:03:20.9413825,
15:03:21.1915592,
15:03:21.4427379,
15:03:21.6929319,
15:03:21.9581023,
15:03:22.2082790,
15:03:22.4584558,
15:03:22.7086338,
15:03:22.9588105,
15:03:23.2249989,
15:03:23.4751762,
15:03:23.7253523,
15:03:23.9885569,
15:03:24.2387160,
15:03:24.4888933,
15:03:24.7400708,
15:03:24.9902478,
15:03:25.2404252,
15:03:25.5046115,
15:03:25.7697998,
15:03:26.0199762,
15:03:26.2701536,
15:03:26.5213490,
15:03:26.7715077,
15:03:27.0216851,
15:03:27.2868731,
15:03:27.5380505,
15:03:27.7882276,
15:03:28.0504135,
15:03:28.3005905,
15:03:28.5507676,
15:03:28.8009443,
15:03:29.0511220,
15:03:29.3012981,
15:03:29.5514761,
15:03:29.8016525,
15:03:30.0588348,
15:03:30.3090122,
15:03:30.5581885,
15:03:30.8183733,
15:03:31.0685500,
15:03:31.3187264,
15:03:31.5681443,
15:03:31.8183220,
15:03:32.0684987,
15:03:32.3336860,
15:03:32.5848641,
15:03:32.8350412,
15:03:33.0992278,
15:03:33.3504059,
15:03:33.6005829,
15:03:33.8517607,
15:03:34.1019381,
15:03:34.3521145,
15:03:34.6173025,
15:03:34.8794877,
15:03:35.1306651,
15:03:35.3808422,
15:03:35.6310199,
15:03:35.8801956,
15:03:36.1303729,
15:03:36.3805497,
15:03:36.6307273,
15:03:36.8885441,
15:03:37.1387282,
15:03:37.3988934,
15:03:37.6620793,
15:03:37.9122564,
15:03:38.1764437,
15:03:38.4276214,
15:03:38.6787989,
15:03:38.9289762,
15:03:39.1911615,
15:03:39.4423405,
15:03:39.6925336,
15:03:39.9426936,
15:03:40.1928707,
15:03:40.4430474,
15:03:40.7082354,
15:03:40.9584121,
15:03:41.2095902,
15:03:41.4597673,
15:03:41.7099440,
15:03:41.9601214,
15:03:42.2102984,
15:03:42.4604758,
15:03:42.7226607,
15:03:42.9728384,
15:03:43.2230154,
15:03:43.4731925,
15:03:43.7243696,
15:03:43.9745469,
15:03:44.2247240,
15:03:44.4759018,
15:03:44.7260782,
15:03:44.9772562,
15:03:45.2384414,
15:03:45.4886184,
